COUNTRY_NAME,PASSENGERS_TO_INDIA
AFGHANISTAN,30886
AUSTRALIA,16478
AUSTRIA,10970
BAHRAIN,130364
BANGLADESH,79263
BELGIUM,20941
BHUTAN,10435
BURMA,6498
CANADA,21708
CHINA,69576
EGYPT,3444
ETHIOPIA,25195
FINLAND,10479
FRANCE,85943
GEORGIA,0
GERMANY,157620
HONG KONG,175176
IRAN,8525
IRAQ,1659
ISRAEL,7354
ITALY,17397
JAPAN,36511
JORDAN,0
KAZAKHSTAN,8062
KENYA,20658
KOREA,19609
KUWAIT,118388
KYRGYZSTAN,2055
MALAYSIA,262238
MALDIVES,28103
MAURITIUS,22198
NEPAL,101282
NETHERLANDS,42953
OMAN,326546
PAKISTAN,2847
QATAR,342575
REUNION,642
RUSSIA,31385
SAUDI ARABIA,391000
SEYCHELLES,5318
SINGAPORE,421115
SOUTH AFRICA,8483
SRI LANKA,245387
SWITZERLAND,33633
TAIWAN,3356
TAJIKISTAN,1014
THAILAND,332715
TURKEY,50936
TURKMENISTAN,10454
UNITED KINGDOM,306154
UNITED STATES,106577
UZBEKISTAN,12614
VIETNAM,1695
YEMEN,1414
